imdbID;title;year;runtime;genre;released;imdbRating;imdbVotes;country
13367;The Man from Beyond;1922;74 min;Mystery;1922-04-02;5,6;155;USA
13372;Manslaughter;1922;100 min;Drama;1922-09-24;7,4;296;USA
13386;Merry-Go-Round;1923;110 min;Drama;1923-09-03;6,9;192;USA
13422;My Wife's Relations;1922;25 min;Short, Comedy;1922-05-01;6,7;1109;USA
13427;Nanook of the North;1922;79 min;Documentary;1922-06-11;7,8;6918;USA, France
13442;Nosferatu;1922;81 min;Horror;1929-06-03;8;63322;Germany
13442;Nosferatu;1922;81 min;Horror;1929-06-03;8;63557;Germany
13496;Phantom;1922;125 min;Drama, Fantasy, Romance;1922-11-13;7;961;Germany
13501;Polikushka;1922;50 min;Drama;1922-10-31;6,6;28;Soviet Union
13556;Robin Hood;1922;143 min;Adventure, Romance, Family;1922-10-18;7,7;1460;USA
13571;Salom�;1922;72 min;Biography, Drama, History;1923-02-15;6,6;466;USA
13579;Warning Shadows;1923;90 min;Drama, Fantasy, Horror;1924-09-05;6,8;488;Germany
13597;Sherlock Holmes;1922;85 min;Drama, Mystery;1922-03-07;5,8;384;USA
13626;The Smiling Madame Beudet;1923;26 min;Drama;1923-11-09;6,8;1053;France
13662;Tess of the Storm Country;1922;137 min;Drama, Romance;1922-11-12;7,4;314;USA
13674;The Three Must-Get-Theres;1922;58 min;Action, Adventure, Comedy;1922-08-27;7,3;239;USA
13688;The Toll of the Sea;1922;54 min;Drama, Family, Fantasy;1923-01-22;6,9;427;USA
